,Zona,termino,menciones
590,Cinco Esquinas,Pollo frito,0
591,Cinco Esquinas,pollo pesto,0
592,Cinco Esquinas,Pollo relleno,0
593,Cinco Esquinas,pollo teriyaki,0
594,Cinco Esquinas,Ponche,0
595,Cinco Esquinas,Ponche casero,0
596,Cinco Esquinas,Postre de café,0
597,Cinco Esquinas,Postre de fresas,0
598,Cinco Esquinas,Postre de frutas,0
599,Cinco Esquinas,Postre de frutas con gelatina,0
600,Cinco Esquinas,Postre de higos,0
601,Cinco Esquinas,Postre de naranja,0
602,Cinco Esquinas,Postre de piña,0
603,Cinco Esquinas,Pozol,0
604,Cinco Esquinas,Pozol costarricense,0
605,Cinco Esquinas,pozol y pozole,0
606,Cinco Esquinas,Pozole,0
607,Cinco Esquinas,Prestiños,0
608,Cinco Esquinas,Pudín de elote,0
609,Cinco Esquinas,Pudín de yuca,0
610,Cinco Esquinas,pulpo,0
